ServiceID,total_requests,slow_requests,E_pct,n_replicas,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,cycle,servers_on
4,14,5.0,35.714285714285715,7,13.512423181298479,21.015613501651984,21.01854685304146,4,28.571428571428573,7.862029547577303,12.423181298478584,20.211677941624504,21.595601562918368,8,9
5,14,8.0,57.142857142857146,7,31.440793512447666,60.01354985069863,60.013827921383516,8,57.142857142857146,7.674329221585837,12.222083876236402,22.098892269563684,28.50722131758543,8,9
6,17,10.0,58.8235294117647,7,42.367142424610286,93.00846519788983,102.61677889592104,10,58.8235294117647,9.741260539724205,14.201248139701354,26.30484350178887,28.323328873634257,8,9
7,11,3.0,27.272727272727273,7,45.46464345643256,87.51271015610558,97.51600916769947,3,27.272727272727273,5.691753426496524,10.098001887106939,17.38502152090511,17.82590225928395,8,9
8,7,3.0,42.857142857142854,7,35.729741774041585,67.51419690338109,73.5158830634857,1,14.285714285714286,10.692857853571587,15.456059755874184,22.508979102788853,22.84790459843931,8,9
9,10,2.0,20.0,7,48.011911213557205,76.51395868756025,87.3121702449229,1,10.0,7.384169061537231,11.911213557205603,18.577543603104832,19.812352193745372,8,9
10,4,1.0,25.0,7,50.00950915277666,74.00362533556155,78.8007250671123,0,0.0,6.075513472451533,9.509152776661614,21.75590339754558,23.68630367452164,8,9
11,8,0.0,0.0,7,75.0121527071006,100.0111069117877,100.01166159645496,0,0.0,7.60957432190387,12.152707100597844,16.555148238437727,17.283957260215356,8,9
12,1,0.0,0.0,7,60.0142075543037,60.0142075543037,60.0142075543037,0,0.0,9.52752774758893,14.207554303704786,14.207554303704786,14.207554303704786,8,9
13,6,2.0,33.333333333333336,7,105.01465379056258,192.52266482064886,206.52326631070505,2,33.333333333333336,9.944035778004514,14.653790562578143,22.664820648857564,23.266310705049595,8,9
14,3,0.0,0.0,7,120.01243121333364,171.0128475515686,178.21287228115858,0,0.0,7.869526489112858,12.431213333636421,12.847551568592136,12.872281158565308,8,9
15,0,,0.0,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8,9
1,17,8.0,47.05882352941177,7,2.4819356557783325,5.209687268389431,5.855080525742582,7,41.1764705882353,6.8579358437654685,11.347420484214771,18.60633989541636,20.93762510479662,9,10
2,16,7.0,43.75,7,5.387084005906257,12.515019326474706,13.714993013896018,6,37.5,7.778795013768207,12.084005906256305,20.14344745906598,21.245046617526544,9,10
3,22,12.0,54.54545454545455,7,12.556693964307271,24.013886519755115,27.167721183765693,12,54.54545454545455,6.926834740657062,11.23941885272511,21.90227840150391,23.04922278744376,9,10
4,12,4.0,33.333333333333336,7,13.429070448775441,24.161560037567416,27.243249097355363,3,25.0,8.155049420442202,12.40378210877344,21.541919188299914,24.16686019754997,9,10
5,21,14.0,66.66666666666667,7,31.44387949299475,60.017365815916875,68.01162746712234,12,57.142857142857146,10.554721959750918,15.308064423315633,24.894531100299037,27.65345582682307,9,10
6,19,12.0,63.1578947368421,7,52.90808124817221,106.5150996446246,117.31021328425582,12,63.1578947368421,8.721882386191083,13.344406066946567,20.78520001870027,23.492162998752583,9,10
