BCode,BTSID,Lat,Long
31,d080a7d61cdb3de6dfd680b7a78ac186,31.178359,121.279284
32,82be636ba0fef85337bdb0cdbd5f385e,31.019691,121.249497
33,663e0170cfc3c9296dab1528f89c4aa6,31.180753,121.749174
34,bba3ad248cd63e1e0291b5321cd14095,31.300119,121.532041
35,617f42d2f36e9f9f1453f40726e0d95c,31.177646,121.555355
36,98425fbddba6a9e0cf3790723711af05,31.147783,121.366475
37,b81b1b26f4814f5aafd412e9191ff335,31.184888,121.510295
38,bc53781c7d41cc3cf21310e962baf036,30.892415,121.023553
39,883f93807f140111c92d9ea26b1648b8,31.158515,121.1384
40,9e50faabfb752e98bbcf3d217a5fffdc,31.27975,121.497791
41,32a3a07bfa2f4038f07641cc0a230fc0,31.162868,121.448422
42,59a4d5d62e2f2a46b36258177a200c22,31.27975,121.497791
43,38f27afb81863068dde63cb4bc435d8d,31.140384,121.620758
44,354b240ea3137be38197b2246d5ff954,31.250826,121.578689
45,4d4d8b63bfc477796070ac51ab6094af,31.260959,121.562594
46,9c025afa8ab550d632def71596767e23,31.038201,121.216468
47,11fb14b224327e88e340537d9a369e6f,31.232639,121.705254
48,16d8a4fcdf09d7d2795df9ce50ed2070,31.355885,121.375057
49,eb7f2c8f7030376959889a2fae9c3a1d,31.327319,121.462047
50,d68cf3d5e52e31d3033b3eade2c0ef25,31.217074,121.510123
51,ab9047aeefe32a5e5923192954a10e69,31.27795,121.538718
52,4c6f783f0e733e3b8efa0025c4f48d0a,31.221052,121.503967
53,ca0f9f72c8903a609e709190cc52b2b1,31.300084,121.504034
54,c175cd605aa12670b66ef41aa848668f,31.263678,121.468663
55,7a6c6504a82f4c4442663510650daff1,31.069261,121.375484
56,bb44b0a2fa27afc53c4de54e19c9086b,30.935314,121.733322
57,c405ebbee467ce0a45687fad44945d9f,31.100465,121.401931
58,4ac4d82d153504524554d0a7e01ffd6c,31.078561,121.564629
59,3fa23f6fd390a91f8f6a82ae8c225161,31.279012,121.514374
60,fb17e439e553264fb8c81169aa297b54,31.054594,121.339133
61,34ac82071dbbc61a2e2697ef835bf097,31.31394,121.382812
62,5faede8f4a062592ec847c3cebbecb05,31.305522,121.483135
63,0f6306507c48515a0bedee792c8abc45,31.00153,121.235235
64,414879d03cd01beda6896282aed6beec,31.301602,121.487289
65,daeb6601d6ac72572ecbba9c571cc5a4,31.301602,121.487289
66,16149d730358917fc4ab86c6388fde2e,31.252404,121.435035
67,27fd4964e6f60b9b115a098f14d6b0f4,31.042149,121.539262
68,69519302a9a58ee30a88a5f5736f5ce0,31.338059,121.289933
69,378e868daeaef4534303a22954f66f94,31.117005,121.271194
70,b0c5fc8d4a9097ddf6fa2336dea09f7d,31.131416,121.429704
71,cba4bbec39053f7a10f7e918b061a21f,29.526266,119.910488
72,346b2cc048711772c0f088d1faaba64b,30.915722,121.763195
73,2a6cad9f5520882bcf6a1d7c375cbdea,31.19206,121.438501
74,258d5c47bad4e5280cbadced2b17ceb7,31.146522,121.352501
75,f0aec4eb9890dbd30befb85f5a6869c2,30.991472,121.430726
76,a3524a352ae4a504daffc622eee58665,31.219114,121.423499
77,c686f1a276f09d2495f1ed8bb64a75dd,31.159704,121.457647
78,59f71163dbd9aa19788332f1ee7eea77,31.146522,121.352501
79,c714a907822bddccc25e0a9b446901f9,30.824298,121.363989
80,da9bd8f88bc59f05da9a7437d3ae2e53,31.10888,121.390919
81,4a9adaf6d06613c570bd17037e1ee5f0,31.025227,121.44251
82,013eaea900acd07976a0dd3e0e0bb2f2,31.190389,121.457678
83,6f9488062d5c55a039de4be92762b813,31.182198,121.390214
84,784b425282035db64459d56c8c174658,31.242841,121.391309
85,809a6533ee91d8db342f4a470da041db,31.160079,121.37079
86,e1becab95c4c06cf043fe18113bb99a3,31.146311,121.399951
87,4abcaddda743fefbac7c16a2961ff342,31.202912,121.712449
88,0019e53be51fb4fd951e1a817d8c54ee,31.240601,121.442307
89,f00ef387a082f80d3a0d1031afcd41a6,31.203552,121.371544
90,a921080a3e7d1f6a3d427c0c9f8e33b0,31.200783,121.446011
